"id","m_element","meaning"
"597","汚","pollute"
"598","汚","disgrace"
"599","汚","rape"
"600","汚","defile"
"601","甥","nephew"
"602","凹","concave"
"603","凹","hollow"
"604","凹","sunken"
"605","央","center"
"606","央","middle"
"607","奥","heart"
"608","奥","interior"
"609","往","journey"
"610","往","travel"
"611","往","chase away"
"612","往","let go"
"613","往","going"
"614","往","before"
"615","往","formerly"
"616","応","apply"
"617","応","answer"
"618","応","yes"
"619","応","OK"
"620","応","reply"
"621","応","accept"
"622","押","push"
"623","押","stop"
"624","押","check"
"625","押","subdue"
"626","押","attach"
"627","押","seize"
"628","押","weight"
"629","押","shove"
"630","押","press"
"631","押","seal"
"632","押","do in spite of"
"633","旺","flourishing"
"634","旺","successful"
"635","旺","beautiful"
"636","旺","vigorous"
"637","横","sideways"
"638","横","side"
"639","横","horizontal"
"640","横","width"
"641","横","woof"
"642","横","unreasonable"
"643","横","perverse"
"644","欧","Europe"
"645","殴","assault"
"646","殴","hit"
"647","殴","beat"
"648","殴","thrash"
"649","王","king"
"650","王","rule"
"651","王","magnate"
"652","翁","venerable old man"
"653","襖","opaque sliding door"
"654","鴬","nightingale"
"655","鴬","bush warbler"
"656","鴎","seagull"
"657","黄","yellow"
"658","岡","mount"
"659","岡","hill"
"660","岡","knoll"
"661","沖","open sea"
"662","沖","offing"
"663","沖","rise high into sky"
"664","荻","reed"
"665","荻","rush"
"666","億","hundred million"
"667","億","10**8"
"668","屋","roof"
"669","屋","house"
"670","屋","shop"
"671","屋","dealer"
"672","屋","seller"
"673","憶","recollection"
"674","憶","think"
"675","憶","remember"
"676","臆","timidity"
"677","臆","heart"
"678","臆","mind"
"679","臆","fear"
"680","臆","cowardly"
"681","桶","tub"
"682","桶","bucket"
"683","牡","male"
"684","乙","the latter"
"685","乙","duplicate"
"686","乙","strange"
"687","乙","witty"
"688","乙","fishhook radical (no. 5)"
"689","俺","I"
"690","俺","myself"
"691","卸","wholesale"
"692","恩","grace"
"693","恩","kindness"
"694","恩","goodness"
"695","恩","favor"
"696","恩","mercy"
"697","恩","blessing"
"698","恩","benefit"
"699","温","warm"
"700","穏","calm"
"701","穏","quiet"
"702","穏","moderation"
"703","音","sound"
"704","音","noise"
"705","下","below"
"706","下","down"
"707","下","descend"
"708","下","give"
"709","下","low"
"710","下","inferior"
"711","化","change"
"712","化","take the form of"
"713","化","influence"
"714","化","enchant"
"715","化","delude"
"716","化","-ization"
"717","仮","sham"
"718","仮","temporary"
"719","仮","interim"
"720","仮","assumed (name)"
"721","仮","informal"
"722","何","what"
"723","伽","nursing"
"724","伽","attending"
"725","伽","entertainer"
"726","価","value"
"727","価","price"
"728","佳","excellent"
"729","佳","beautiful"
"730","佳","good"
"731","佳","pleasing"
"732","佳","skilled"
