"id","k_element","old_jlpt","new_jlpt"
"977","催","1","1"
"978","再","2","2"
"979","最","2","3"
"980","哉","1","1"
"982","妻","2","3"
"983","宰","1","1"
"984","彩","1","1"
"985","才","2","3"
"986","採","2","2"
"987","栽","1","1"
"988","歳","2","3"
"989","済","2","3"
"990","災","1","1"
"991","采","1","1"
"993","砕","1","1"
"995","祭","2","2"
"996","斎","1","1"
"997","細","2","2"
"998","菜","3","2"
"999","裁","1","1"
"1000","載","1","1"
"1001","際","2","3"
"1002","剤","1","1"
"1003","在","2","3"
"1004","材","2","2"
"1005","罪","2","3"
"1006","財","2","3"
"1007","冴","1","1"
"1008","坂","2","2"
"1013","咲","2","2"
"1014","崎","1","1"
"1018","作","3","4"
"1019","削","1","1"
"1021","搾","1","1"
"1022","昨","2","3"
"1023","朔","1","1"
"1026","策","1","1"
"1027","索","1","1"
"1028","錯","1","1"
"1029","桜","1","1"
"1031","笹","1","1"
"1033","冊","2","2"
"1034","刷","2","2"
"1035","察","2","3"
"1037","撮","1","1"
"1038","擦","1","1"
"1039","札","2","2"
"1040","殺","2","3"
"1042","雑","2","3"
"1043","皐","1","1"
"1048","皿","2","2"
"1050","三","4","5"
"1051","傘","1","1"
"1052","参","2","3"
"1053","山","4","5"
"1054","惨","1","1"
"1056","散","2","3"
"1057","桟","1","1"
"1058","燦","1","1"
"1060","産","3","3"
"1061","算","2","2"
"1063","蚕","1","1"
"1065","賛","2","3"
"1066","酸","1","1"
"1069","暫","1","1"
"1070","残","2","3"
"1071","仕","3","4"
"1073","伺","2","2"
"1074","使","3","4"
"1075","刺","2","2"
"1076","司","2","1"
"1077","史","2","2"
"1078","嗣","1","1"
"1079","四","4","5"
"1080","士","1","1"
"1081","始","3","4"
"1082","姉","3","4"
"1083","姿","1","1"
"1084","子","4","5"
"1086","市","3","3"
"1087","師","2","3"
"1088","志","2","1"
"1089","思","3","4"
"1090","指","2","3"
"1091","支","2","3"
"1094","施","1","1"
"1095","旨","1","1"
"1096","枝","2","2"
"1097","止","3","4"
"1098","死","3","4"
"1099","氏","1","1"
"1101","祉","1","1"
"1102","私","3","4"
"1103","糸","2","2"
"1104","紙","3","4"
"1105","紫","1","1"
"1106","肢","1","1"
"1107","脂","2","2"
"1108","至","1","1"
"1109","視","1","1"
"1110","詞","2","2"
"1111","詩","1","1"
"1112","試","3","4"
"1113","誌","2","2"
"1114","諮","1","1"
"1115","資","2","3"
"1116","賜","1","1"
"1117","雌","1","1"
"1118","飼","1","1"
"1119","歯","2","3"
"1120","事","3","4"
"1121","似","2","3"
"1122","侍","1","1"
"1123","児","2","2"
"1124","字","3","4"
"1125","寺","2","2"
"1126","慈","1","1"
"1127","持","3","4"
"1128","時","4","5"
"1129","次","2","3"
"1130","滋","1","1"
"1131","治","2","3"
"1132","爾","1","1"
"1135","磁","1","1"
"1136","示","2","3"
"1138","耳","4","3"
"1139","自","3","4"
"1140","蒔","1","1"
"1141","辞","2","3"
"1142","汐","1","1"
"1143","鹿","1","1"
"1144","式","2","3"
"1145","識","2","3"
"1148","軸","1","1"
"1151","七","4","5"
"1153","執","1","1"
"1154","失","2","3"
"1156","室","3","4"
"1158","湿","2","2"
"1159","漆","1","1"
"1160","疾","1","1"
"1161","質","3","4"
"1162","実","2","3"
"1165","偲","1","1"
"1167","芝","1","1"
"1171","舎","1","1"
"1172","写","3","4"
"1173","射","1","1"
"1174","捨","2","2"
"1175","赦","1","1"
"1176","斜","1","1"
"1177","煮","1","1"
"1178","社","4","4"
"1179","紗","1","1"
"1180","者","3","4"
"1181","謝","1","1"
"1182","車","4","5"
"1183","遮","1","1"
"1184","蛇","1","1"
"1185","邪","1","1"
"1186","借","3","4"
"1187","勺","1","1"
"1188","尺","1","1"
"1191","爵","1","1"
"1192","酌","1","1"
"1193","釈","1","1"
"1195","若","2","3"
"1196","寂","1","1"
"1197","弱","3","2"
"1199","主","3","4"
"1200","取","2","3"
"1201","守","2","3"
"1202","手","4","4"
"1203","朱","1","1"
"1204","殊","1","1"
"1205","狩","1","1"
"1206","珠","1","1"
"1207","種","2","3"
"1209","趣","1","1"
"1210","酒","2","3"
"1211","首","3","3"
"1212","儒","1","1"
"1213","受","2","3"
"1216","授","2","1"
"1217","樹","1","1"
"1219","需","1","1"
"1220","囚","1","1"
"1221","収","2","3"
"1222","周","2","2"
"1223","宗","1","1"
"1224","就","1","1"
"1225","州","2","2"
"1226","修","2","1"
"1227","愁","1","1"
"1228","拾","2","2"
"1229","洲","1","1"
"1230","秀","1","1"
"1231","秋","3","4"
"1232","終","3","4"
"1234","習","3","4"
"1235","臭","1","1"
"1236","舟","2","2"
"1238","衆","1","1"
"1239","襲","1","1"
"1243","週","4","4"
"1245","酬","1","1"
"1246","集","3","4"
